limatic Research Unit Country File created on Thu  2 Jul 2015 18:16:18 BST, from CRU TS run #1506241137
Country = Afghanistan          : Parameter = Precipitation                  : Units = mm/month            
Period = 1901.2014 : missing value = -999.0 : format = (i5,17f8.1)
 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    65.4    13.5    46.8    32.5    50.9    20.1     7.8     2.6     3.9    11.5     7.7     7.7   130.1    30.6    23.1    48.6   270.4
 1902    19.8    21.1    41.6    33.8    14.1     5.2     2.5     3.3     1.9    19.8    53.9    19.0    89.5    11.0    75.6   117.9   236.0
 1903    49.0    49.8    68.2    38.1    80.6     7.1     7.4     6.6     6.3     2.0    12.0    21.4   186.8    21.1    20.2   113.8   348.4
 1904    67.8    24.6    77.2    23.6    28.2     0.3     3.0     4.1     8.6    21.6    26.3    20.4   129.0     7.4    56.4   128.8   305.6
 1905    71.3    37.1    71.4    34.4    15.8     4.5     1.1     3.6     5.5     2.4     3.0    43.1   121.7     9.2    10.9   176.8   293.2
 1906    20.8   112.9    56.3    43.2    14.6     6.2     6.7     5.5     2.3     4.7     5.4    34.7   114.1    18.4    12.4   137.8   313.2
 1907    52.0    51.1    40.9    50.8    40.8    15.1     6.4     4.7     3.3    19.0     8.3     9.9   132.5    26.2    30.6   127.5   302.3
 1908    80.1    37.5    55.5    87.1    10.5     3.1     9.8     7.3     6.1     2.8     1.2    45.1   153.2    20.2    10.1   137.4   346.2
 1909    31.5    60.8    52.1    79.4    26.4     8.1    12.8     2.5     2.5     5.9     4.4    47.5   157.9    23.4    12.7   161.3   333.9
 1910    82.2    31.5    53.7    30.0    19.0     4.8    13.5    17.0     0.7     2.5     1.9    22.5   102.7    35.4     5.2   140.2   279.5
 1911    83.3    34.5    91.8    30.2    32.9     1.3     0.4     2.5     0.9     6.3    11.5    21.1   154.9     4.2    18.7   129.5   316.7
